enabled,short,long,description
true,21,https://www.ynharari.com/book/21-lessons-book/,Harari - 21 lessons
true,4cs,https://www.aeseducation.com/blog/four-cs-21st-century-skills,4Cs
true,ai,https://1drv.ms/p/s!AjMDN5B379fDnpl9Cd89oVTsubPlyg,AI Seasons of Change
true,alpha,https://youtu.be/WXuK6gekU1Y?si=v-UR-rD8Q8yZtNze,Deepmind AlphaGo Movie
true,algebra,https://www.penguinrandomhouse.com/books/730881/the-algebra-of-wealth-by-scott-galloway/,Scott Gallaway
true,animals,https://www.beliefnet.com/love-family/parenting/2000/10/teaching-tales-the-way-you-like-it.aspx,Animals and a small house
true,arrow,https://psychology-spot.com/the-poisoned-arrow-buddhist-parable/,Poison Arrow
true,bio,https://palousemindfulness.com/docs/autobio_5chapters.pdf,Biography in five short chapters
true,cap,https://www.lulu.com/shop/richard-wolff/understanding-capitalism/ebook/product-kv95q82.html,Richard Wolff - Capitalism
true,cow,http://zackhurst.weebly.com/news-and-updates---blog/the-story-of-the-little-cow,The cow
true,desiderata,https://www.poetseers.org/the-great-poets/american-poets/max-ehrmann/desid/,Desiderata
true,finger,https://wisdom.srisriravishankar.org/story-eklavya-devotion/,Devotion
true,healthy,https://conten.to/post/healthy/healthy/,Compilation of Healthy Documents
true,horse,http://legacy.ymaa.com/articles/stories-proverbs/blessing-in-disguise,The horse
true,indra,http://hindumythologyforgennext.blogspot.com/2012/02/indra-and-ants.html,Indra
true,mask,http://kirtimukha.com/devilsMask.htm,Devils Mask
true,max,https://maxbanshees.com/,Max Banshees
true,merit,https://www.youtube.com/watch?v=Qewckuxa9hw,Michael Sandell
true,mkt,https://allthingsequal.substack.com/p/sigmund-freuds-nephew-and-marketing?s=r,Sigmund Freud's
true,nexus,https://www.ynharari.com/book/nexus/,Harari - Nexus
true,njm,https://conten.to/post/njm/njm,Presentation: New Job Market
true,power,https://billmoyers.com/series/joseph-campbell-and-the-power-of-myth-1988/,Joseph Campbell and Bill Moyers
true,refs,https://conten.to/post/references/references/,References to Various Sources
true,sad,https://www.rigpawiki.org/index.php?title=Geshe_Langri_Tangpa,Sad Face
true,sapiens,https://www.ynharari.com/book/sapiens-2/,Harari - Sapiens
true,sawyer,https://elcuento1.blogspot.com/2009/02/que-pase-el-aserrador-jesus-del-corral.html,Que pase el aserrador!
true,stuff,https://www.youtube.com/watch?v=Ja2fgquYTCg,The Devil wears prada
true,twobirds,https://www.holy-bhagavad-gita.org/chapter/13/verse/23,Bhagavad Gita - Two Birds
false,disabled,https://disabled.com,This site is currently disabled
